speed_data,Timestamp,Action,Bump,Traffic congestion
24,1576224001634,1,0,0
24,1576224002085,1,0,0
24,1576224002534,1,0,0
24,1576224002985,1,0,0
24,1576224003434,1,0,0
24,1576224003885,1,0,0
23,1576224004334,1,0,0
23,1576224004785,1,0,0
22,1576224005234,1,0,0
19,1576224005685,1,0,0
16,1576224006134,1,0,0
14,1576224006585,1,0,0
14,1576224007034,1,0,0
13,1576224007485,1,0,0
12,1576224007934,1,0,0
11,1576224008384,1,0,0
9,1576224008834,1,0,0
8,1576224009285,1,0,0
6,1576224009734,1,0,0
6,1576224010185,1,0,0
6,1576224010634,1,0,0
6,1576224011085,1,0,0
5,1576224011535,1,0,0
6,1576224011984,1,0,0
8,1576224012434,1,0,0
9,1576224012884,1,0,0
11,1576224013334,1,0,0
13,1576224013784,1,0,0
14,1576224014235,1,0,0
14,1576224014685,1,0,0
14,1576224015134,1,0,0
14,1576224015584,1,0,0
15,1576224016034,1,0,0
16,1576224016485,1,0,0
16,1576224016934,1,0,0
17,1576224017384,1,0,0
18,1576224017824,1,0,0
18,1576224018274,1,0,0
19,1576224018714,1,0,0
20,1576224019164,1,0,0
21,1576224019614,1,0,0
22,1576224020064,1,0,0
23,1576224020504,1,0,0
23,1576224020944,1,0,0
23,1576224021385,1,0,0
23,1576224021824,1,0,0
23,1576224022264,1,0,0
23,1576224022714,1,0,0
23,1576224023164,1,0,0
23,1576224023614,1,0,0
24,1576224024054,1,0,0
25,1576224024494,1,0,0
26,1576224024944,1,0,0
26,1576224025394,1,0,0
27,1576224025834,1,0,0
28,1576224026274,1,0,0
28,1576224026724,1,0,0
28,1576224027164,1,0,0
29,1576224027604,1,0,0
29,1576224028045,1,0,0
30,1576224028494,1,0,0
31,1576224028934,1,0,0
32,1576224029384,1,0,0
32,1576224029825,1,0,0
33,1576224030264,1,0,0
34,1576224030704,1,0,0
34,1576224031154,1,0,0
34,1576224031594,1,0,0
34,1576224032034,1,0,0
34,1576224032484,1,0,0
34,1576224032924,1,0,0
34,1576224033364,1,0,0
34,1576224033804,1,0,0
34,1576224034244,1,0,0
34,1576224034686,1,0,0
35,1576224035125,1,0,0
35,1576224035574,1,0,0
36,1576224036015,1,0,0
36,1576224036465,1,0,0
36,1576224036915,1,0,0
37,1576224037365,1,0,0
37,1576224037815,4,0,0
38,1576224038265,4,0,0
38,1576224038715,4,0,0
38,1576224039165,4,0,0
39,1576224039615,4,0,0
39,1576224040065,4,0,0
40,1576224040515,4,0,0
41,1576224040965,4,0,0
42,1576224041414,4,0,0
42,1576224041865,4,0,0
43,1576224042315,4,0,0
44,1576224042765,4,0,0
44,1576224043215,4,0,0
45,1576224043665,4,0,0
45,1576224044115,1,0,0
47,1576224044545,1,0,0
48,1576224044995,1,0,0
49,1576224045445,1,0,0
50,1576224045895,1,0,0
52,1576224046345,1,0,0
52,1576224046795,1,0,0
52,1576224047246,1,0,0
52,1576224047695,1,0,0
51,1576224048145,1,0,0
51,1576224048595,1,0,0
50,1576224049045,1,0,0
50,1576224049495,1,0,0
49,1576224049945,1,0,0
49,1576224050395,1,0,0
48,1576224050846,1,0,0
49,1576224051295,1,0,0
49,1576224051747,1,0,0
50,1576224052195,1,0,0
50,1576224052615,1,0,0
50,1576224053065,1,0,0
50,1576224053515,1,0,0
49,1576224053965,1,0,0
49,1576224054415,1,0,0
50,1576224054865,1,0,0
49,1576224055315,1,0,0
49,1576224055765,1,0,0
49,1576224056215,1,0,0
49,1576224056665,1,0,0
49,1576224057115,1,0,0
49,1576224057565,1,0,0
49,1576224058015,1,0,0
49,1576224058465,1,0,0
49,1576224058915,1,0,0
49,1576224059364,1,0,0
49,1576224059814,1,0,0
49,1576224060265,1,0,0
50,1576224060714,1,0,0
49,1576224061165,1,0,0
50,1576224061614,1,0,0
