DT_verticalAccOri,Timestamp,Action,Bump,Traffic congestion
-0.969,1569400869457.0,3,0,0
-0.657,1569400869917.0,3,0,0
0.406,1569400870378.0,3,0,0
1.25,1569400870838.0,3,0,0
0.843,1569400871297.0,3,0,0
0.906,1569400871757.0,1,0,0
0.062,1569400872218.0,1,0,0
-0.094,1569400872678.0,1,0,0
0.0,1569400873138.0,1,0,0
0.218,1569400873597.0,1,0,0
0.562,1569400874060.0,2,0,0
0.125,1569400874518.0,2,0,0
0.093,1569400874977.0,2,0,0
0.0,1569400875437.0,2,0,0
-0.28200000000000003,1569400875898.0,2,0,0
-0.5,1569400876358.0,2,0,0
-0.594,1569400876827.0,2,0,0
-0.5,1569400877297.0,2,0,0
-0.34400000000000003,1569400877748.0,2,0,0
-0.157,1569400878218.0,1,0,0
-0.094,1569400878676.0,1,0,0
0.031,1569400879138.0,1,0,0
0.031,1569400879598.0,1,0,0
-0.032,1569400880058.0,1,0,0
-0.063,1569400880518.0,1,0,0
-0.094,1569400880988.0,1,0,0
-0.063,1569400881448.0,1,0,0
-0.063,1569400881898.0,1,0,0
-0.063,1569400882368.0,1,0,0
-0.094,1569400882817.0,1,0,0
-0.063,1569400883287.0,1,0,0
0.0,1569400883747.0,1,0,0
-0.032,1569400884207.0,1,0,0
0.125,1569400884688.0,1,0,0
0.187,1569400885138.0,1,0,0
0.093,1569400885598.0,2,1,0
-0.032,1569400886058.0,2,1,0
-0.28200000000000003,1569400886518.0,2,1,0
-0.157,1569400886978.0,2,1,0
-0.157,1569400887428.0,2,1,0
-0.25,1569400887887.0,2,1,0
-0.375,1569400888358.0,2,1,0
-0.625,1569400888818.0,2,1,0
-0.844,1569400889268.0,2,1,0
-0.75,1569400889737.0,2,1,0
-0.5,1569400890188.0,2,1,0
-0.375,1569400890658.0,2,1,0
-0.157,1569400891108.0,2,1,0
0.343,1569400891578.0,1,1,0
0.218,1569400892082.0,1,1,0
0.062,1569400892508.0,1,1,0
0.125,1569400892958.0,1,1,0
0.0,1569400893418.0,1,1,0
-0.063,1569400893878.0,1,1,0
-0.25,1569400894338.0,1,1,0
-0.188,1569400894797.0,2,0,0
-0.313,1569400895265.0,2,0,0
-0.438,1569400895718.0,2,0,0
-0.782,1569400896178.0,2,0,0
-0.875,1569400896638.0,2,0,0
-0.532,1569400897098.0,2,0,0
-0.8130000000000001,1569400897558.0,2,0,0
-0.9380000000000001,1569400898018.0,2,0,0
-0.907,1569400898477.0,2,0,0
-0.719,1569400898938.0,2,0,0
-0.313,1569400899430.0,2,0,0
-0.219,1569400899858.0,1,0,0
-0.094,1569400900308.0,1,0,0
-0.032,1569400900767.0,3,0,0
-0.094,1569400901228.0,3,0,0
-0.032,1569400901692.0,3,0,0
0.656,1569400902148.0,3,0,0
-0.032,1569400902608.0,3,0,0
-0.313,1569400903068.0,3,0,0
-0.46900000000000003,1569400903529.0,3,0,0
-0.157,1569400903988.0,3,0,0
0.375,1569400904448.0,3,0,0
0.812,1569400904908.0,3,0,0
0.656,1569400905378.0,1,0,0
0.718,1569400905838.0,1,0,0
0.5,1569400906298.0,1,0,0
0.0,1569400906758.0,1,0,0
-0.125,1569400907228.0,1,0,0
-0.188,1569400907691.0,1,0,0
-0.25,1569400908138.0,1,0,0
-0.219,1569400908598.0,1,0,0
-0.219,1569400909058.0,1,0,0
-0.188,1569400909528.0,1,0,0
-0.219,1569400909988.0,1,0,0
-0.125,1569400910438.0,1,0,0
-0.125,1569400910898.0,1,0,0
-0.063,1569400911368.0,2,0,0
-0.032,1569400911828.0,2,0,0
0.0,1569400912289.0,2,0,0
0.0,1569400912748.0,2,0,0
-0.125,1569400913208.0,2,0,0
-0.157,1569400913668.0,2,0,0
-0.313,1569400914128.0,2,0,0
-0.375,1569400914588.0,2,0,0
-0.34400000000000003,1569400915048.0,2,0,0
-0.28200000000000003,1569400915508.0,2,0,0
-0.188,1569400915968.0,1,0,0
0.125,1569400916428.0,1,0,0
0.218,1569400916888.0,1,0,0
0.25,1569400917349.0,5,0,0
0.125,1569400917808.0,5,0,0
0.093,1569400918261.0,5,0,0
-0.063,1569400918719.0,5,0,0
-0.032,1569400919178.0,5,0,0
-0.032,1569400919648.0,5,0,0
0.0,1569400920098.0,5,0,0
0.187,1569400920568.0,5,0,0
0.218,1569400921017.0,5,0,0
0.125,1569400921488.0,5,0,0
0.0,1569400921938.0,5,0,0
0.0,1569400922399.0,5,0,0
0.0,1569400922858.0,5,0,0
0.031,1569400923318.0,1,0,0
0.0,1569400923777.0,1,0,0
-0.125,1569400924238.0,1,0,0
-0.157,1569400924708.0,1,0,0
-0.188,1569400925168.0,1,0,0
-0.188,1569400925628.0,1,0,0
-0.125,1569400926088.0,1,0,0
-0.094,1569400926548.0,1,0,0
-0.5,1569400927008.0,2,0,0
-0.75,1569400927468.0,2,0,0
-0.75,1569400927928.0,2,0,0
-0.625,1569400928388.0,2,0,0
-0.25,1569400928848.0,2,0,0
-0.28200000000000003,1569400929308.0,2,0,0
-0.40700000000000003,1569400929768.0,2,0,0
-0.844,1569400930228.0,2,0,0
-1.0,1569400930698.0,2,0,0
-1.032,1569400931148.0,2,0,0
-0.594,1569400931608.0,2,0,0
0.187,1569400932067.0,2,0,0
0.531,1569400932528.0,2,0,0
0.687,1569400932988.0,1,0,0
0.75,1569400933447.0,1,0,0
0.687,1569400933908.0,5,0,0
0.625,1569400934368.0,5,0,0
0.5,1569400934828.0,5,0,0
0.343,1569400935288.0,5,0,0
0.281,1569400935748.0,5,0,0
0.031,1569400936207.0,5,0,0
-0.125,1569400936668.0,5,0,0
-0.125,1569400937128.0,5,0,0
-0.032,1569400937588.0,5,0,0
0.125,1569400938048.0,5,0,0
0.156,1569400938508.0,5,0,0
0.218,1569400938968.0,5,0,0
0.25,1569400939418.0,5,0,0
0.218,1569400939880.0,5,0,0
0.125,1569400940341.0,1,0,0
0.187,1569400940798.0,1,0,0
